country,year,iso_code,population,gdp,electricity_demand,electricity_generation,per_capita_electricity,primary_energy_consumption,coal_share_elec,gas_share_elec,oil_share_elec,fossil_share_elec,renewables_share_elec,low_carbon_share_elec,nuclear_share_elec,solar_share_elec,wind_share_elec,hydro_share_elec,carbon_intensity_elec,demand_score,carbon_score,grid_stress_index,risk_level
Kyrgyzstan,2025,KGZ,7295037.0,,19.31,15.78,2163.115,,12.611,1.711,0.951,15.272,84.728,84.728,0.0,0.0,0.0,84.728,152.73,0.060776115081194806,15.272999999999998,9.19,Low
Austria,2025,AUT,9113578.0,,75.84,73.22,8034.167,,0.0,11.937,4.466,16.403,83.597,83.597,0.0,14.081,11.349,51.803,116.91,0.2386981132966243,11.691,8.52,Low
El Salvador,2025,SLV,6365506.0,,6.27,6.46,1014.845,,,,13.467,13.467,86.533,86.533,,20.279,3.096,30.341,139.32,0.019734139904665535,13.932,8.23,Low
Brazil,2025,BRA,212812397.0,,762.12,750.53,3526.721,,2.29,7.308,1.685,11.284,86.601,88.716,2.115,11.81,15.666,51.781,109.95,2.3986894264981977,10.995000000000001,7.64,Low
Slovakia,2025,SVK,5474874.0,,26.75,29.1,5315.191,,1.065,11.271,2.509,14.845,18.729,85.155,66.426,2.405,0.0,10.859,94.85,0.08419270214510416,9.485,7.33,Low
New Zealand,2025,NZL,5251897.0,,43.34,43.34,8252.256,,1.131,8.86,1.477,11.467,88.533,88.533,0.0,0.854,9.737,54.845,92.76,0.13640791442874073,9.276000000000002,6.28,Low
Luxembourg,2025,LUX,680454.0,,6.7,1.54,2263.195,,0.0,3.896,4.545,8.442,91.558,91.558,0.0,30.519,30.519,3.247,123.38,0.021087517920455996,12.338,6.24,Low
Denmark,2025,DNK,6002515.0,,40.67,33.3,5547.674,,2.673,2.432,3.724,8.829,91.171,91.171,0.0,13.363,57.688,0.06,114.41,0.12800438116790228,11.440999999999999,6.13,Low
Kenya,2025,KEN,57532491.0,,15.58,14.04,244.036,,0.0,0.0,9.972,9.972,90.028,90.028,0.0,4.63,16.382,20.94,95.44,0.049036347641896176,9.544,5.87,Low
Tajikistan,2025,TJK,10786738.0,,19.47,24.67,2287.068,,4.662,0.973,0.0,5.634,94.366,94.366,0.0,0.0,0.0,94.366,72.56,0.06127969759869824,7.256,3.89,Low
France,2025,FRA,66650804.0,,476.66,569.98,8551.734,,0.305,3.026,1.818,5.149,26.064,94.851,68.787,5.583,8.156,10.423,41.44,1.5002352674573962,4.144,3.39,Low
Uruguay,2025,URY,3384686.0,,14.75,11.94,3527.654,,0.0,0.0,2.178,2.178,97.822,97.822,0.0,5.109,40.62,27.219,80.4,0.04642401333234716,8.04,3.08,Low
Finland,2025,FIN,5623328.0,,87.78,82.3,14635.462,,0.194,1.154,2.309,3.657,56.464,96.343,39.878,1.191,27.436,15.115,57.47,0.2762779586653175,5.747,2.93,Low
Switzerland,2025,CHE,8967413.0,,65.12,65.02,7250.697,,0.0,0.415,1.892,2.307,67.825,97.693,29.868,12.135,0.215,52.276,39.22,0.2049580846238947,3.9219999999999997,1.95,Low
Sweden,2025,SWE,10656636.0,,137.11,170.71,16019.127,,0.0,0.064,1.154,1.218,71.191,98.782,27.591,2.595,22.787,39.974,35.26,0.4315387435930928,3.526,1.6,Low
Norway,2025,NOR,5623074.0,,137.71,160.81,28598.236,,0.0,0.56,0.442,1.001,98.999,98.999,0.0,0.33,8.432,90.025,28.11,0.43342717803373065,2.811,1.32,Low
Paraguay,2025,PRY,7013079.0,,29.65,45.35,6466.489,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,99.471,24.7,0.09332013527485376,2.4699999999999998,0.78,Low
Costa Rica,2025,CRI,5152949.0,,12.45,12.81,2485.955,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.703,12.1,74.785,24.2,0.03918501464323539,2.42,0.74,Low
Ethiopia,2025,ETH,135472048.0,,31.02,33.37,246.324,,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.12,3.296,96.464,23.08,0.09763206058097686,2.308,0.73,Low
